Name,Landcover,Latitude,Longitude,Climate
AR-SLu,MF,-33.4648,-66.4598,B
AR-Vir,ENF,-28.2395,-56.1886,C
AT-Neu,GRA,47.11667,11.3175,D
AU-Ade,WSA,-13.0769,131.1178,A
AU-ASM,SAV,-22.283,133.249,B
AU-Cpr,SAV,-34.0021,140.5891,B
AU-Cum,EBF,-33.61518,150.72362,C
AU-DaP,GRA,-14.0633,131.3181,A
AU-DaS,SAV,-14.1593,131.3881,A
AU-Dry,SAV,-15.2588,132.3706,A
AU-Emr,GRA,-23.8587,148.4746,B
AU-Fog,WET,-12.5452,131.3072,A
AU-Gin,WSA,-31.3764,115.7138,C
AU-GWW,SAV,-30.1913,120.6541,B
AU-How,WSA,-12.4943,131.1523,A
AU-Lox,DBF,-34.4704,140.6551,B
AU-RDF,WSA,-14.5636,132.4776,A
AU-Rig,GRA,-36.6499,145.5759,C
AU-Rob,EBF,-17.1175,145.6301,A
AU-Stp,GRA,-17.1507,133.3502,B
AU-TTE,GRA,-22.287,133.64,B
AU-Tum,EBF,-35.6566,148.1517,C
AU-Wac,EBF,-37.4259,145.1878,C
AU-Whr,EBF,-36.6732,145.0294,C
AU-Wom,EBF,-37.4222,144.0944,C
AU-Ync,GRA,-34.9893,146.2907,B
BE-Bra,MF,51.30761,4.51984,C
BE-Lon,CRO,50.55162,4.74623,C
BE-Vie,MF,50.30493,5.99812,C
BR-Sa1,EBF,-2.85667,-54.95889,A
BR-Sa3,EBF,-3.01803,-54.97144,A
CA-Gro,MF,48.2167,-82.1556,D
CA-Man,ENF,55.87962,-98.48081,D
CA-NS1,ENF,55.87917,-98.48389,D
CA-NS2,ENF,55.90583,-98.52472,D
CA-NS3,ENF,55.91167,-98.38222,D
CA-NS4,ENF,55.91437,-98.380645,D
CA-NS5,ENF,55.86306,-98.485,D
CA-NS6,OSH,55.91667,-98.96444,D
CA-NS7,OSH,56.63583,-99.94833,D
CA-Oas,DBF,53.62889,-106.19779,D
CA-Obs,ENF,53.98717,-105.11779,D
CA-Qfo,ENF,49.6925,-74.34206,D
CA-SF1,ENF,54.48503,-105.81757,D
CA-SF2,ENF,54.25392,-105.8775,D
CA-SF3,OSH,54.09156,-106.00526,D
CA-TP1,ENF,42.66093611,-80.55951944,D
CA-TP2,ENF,42.77441944,-80.458775,D
CA-TP3,ENF,42.70681111,-80.34831389,D
CA-TP4,ENF,42.710161,-80.357376,D
CA-TPD,DBF,42.635328,-80.557731,D
CG-Tch,SAV,-4.28917,11.65642,A
CH-Cha,GRA,47.21022,8.41044,D
CH-Dav,ENF,46.81533,9.85591,E
CH-Fru,GRA,47.11583,8.53778,E
CH-Lae,MF,47.47833,8.36439,D
CH-Oe1,GRA,47.28583,7.73194,D
CH-Oe2,CRO,47.28642,7.73375,D
CN-Cha,MF,42.4025,128.0958,D
CN-Cng,GRA,44.5934,123.5092,D
CN-Dan,GRA,30.4978,91.0664,D
CN-Din,EBF,23.1733,112.5361,C
CN-Du2,GRA,42.0467,116.2836,D
CN-Du3,GRA,42.0551,116.2809,D
CN-Ha2,WET,37.6086,101.3269,D
CN-HaM,GRA,37.37,101.18,D
CN-Qia,ENF,26.7414,115.0581,C
CN-Sw2,GRA,41.7902,111.8971,B
CZ-BK1,ENF,49.50208,18.53688,D
CZ-BK2,GRA,49.49443,18.54285,D
CZ-wet,WET,49.02465,14.77035,D
DE-Akm,WET,53.86617,13.68342,D
DE-Geb,CRO,51.09973,10.91463,D
DE-Gri,GRA,50.95004,13.51259,D
DE-Hai,DBF,51.07921,10.45217,D
DE-Kli,CRO,50.89306,13.52238,D
DE-Lkb,ENF,49.09962,13.30467,D
DE-Lnf,DBF,51.32822,10.3678,D
DE-Obe,ENF,50.78666,13.72129,D
DE-RuR,GRA,50.62191,6.30413,C
DE-RuS,CRO,50.86591,6.44714,C
DE-Seh,CRO,50.87062,6.44965,C
DE-SfN,WET,47.80639,11.3275,D
DE-Spw,WET,51.89225,14.03369,D
DE-Tha,ENF,50.96256,13.56515,D
DE-Zrk,WET,53.87594,12.88901,D
DK-Eng,GRA,55.69053,12.19175,D
DK-Fou,CRO,56.4842,9.58722,D
DK-Sor,DBF,55.48587,11.64464,C
ES-Amo,OSH,36.83361,-2.25232,B
ES-LgS,OSH,37.09794,-2.96583,B
ES-LJu,OSH,36.92659,-2.75212,B
ES-Ln2,OSH,36.9695,-3.47582,C
FI-Hyy,ENF,61.84741,24.29477,D
FI-Jok,CRO,60.8986,23.51345,D
FI-Let,ENF,60.64183,23.95952,D
FI-Lom,WET,67.99724,24.20918,D
FI-Sod,ENF,67.36239,26.63859,D
FR-Fon,DBF,48.47636,2.7801,C
FR-Gri,CRO,48.84422,1.95191,C
FR-LBr,ENF,44.71711,-0.7693,C
FR-Pue,EBF,43.7413,3.5957,C
GF-Guy,EBF,5.27877,-52.92486,A
GH-Ank,EBF,5.26854,-2.69421,A
GL-NuF,WET,64.13083,-51.38611,E
GL-ZaF,WET,74.48143,-20.55452,E
GL-ZaH,GRA,74.47328,-20.5503,E
IT-BCi,CRO,40.52375,14.95744,C
IT-CA1,DBF,42.38041,12.02656,C
IT-CA2,CRO,42.37722,12.02604,C
IT-CA3,DBF,42.38,12.0222,C
IT-Col,DBF,41.84936,13.58814,C
IT-Cp2,EBF,41.70427,12.35729,C
IT-Cpz,EBF,41.70525,12.37611,C
IT-Isp,DBF,45.81264,8.63358,D
IT-La2,ENF,45.9542,11.2853,C
IT-Lav,ENF,45.9562,11.28132,C
IT-MBo,GRA,46.01468,11.04583,D
IT-Noe,CSH,40.60618,8.15169,C
IT-PT1,DBF,45.20087,9.06104,C
IT-Ren,ENF,46.58686,11.43369,D
IT-Ro1,DBF,42.40812,11.93001,C
IT-Ro2,DBF,42.39026,11.92093,C
IT-SR2,ENF,43.73202,10.29091,C
IT-SRo,ENF,43.72786,10.28444,C
IT-Tor,GRA,45.84444,7.57806,D
JP-MBF,DBF,44.3869,142.3186,D
JP-SMF,MF,35.2617,137.0788,C
MY-PSO,EBF,2.973,102.3062,A
NL-Hor,GRA,52.24035,5.0713,C
NL-Loo,ENF,52.16658,5.74356,C
PA-SPn,DBF,9.31814,-79.6346,A
PA-SPs,GRA,9.31378,-79.63143,A
RU-Che,WET,68.61304,161.34143,E
RU-Cok,OSH,70.82914,147.49428,E
RU-Fyo,ENF,56.46153,32.92208,D
RU-Ha1,GRA,54.72517,90.00215,B
SD-Dem,SAV,13.2829,30.4783,B
SJ-Adv,WET,78.186,15.923,E
SJ-Blv,SNO,78.92163,11.83109,E
SN-Dhr,SAV,15.40278,-15.43222,B
US-AR1,GRA,36.4267,-99.42,C
US-AR2,GRA,36.6358,-99.5975,C
US-ARb,GRA,35.5497,-98.0402,C
US-ARc,GRA,35.54649,-98.04,C
US-ARM,CRO,36.6058,-97.4888,C
US-Atq,WET,70.4696,-157.4089,E
US-Blo,ENF,38.8953,-120.6328,C
US-Cop,GRA,38.09,-109.39,B
US-CRT,CRO,41.628495,-83.347086,D
US-GBT,ENF,41.36579,-106.2397,D
US-GLE,ENF,41.36653,-106.2399,D
US-Goo,GRA,34.2547,-89.8735,C
US-Ha1,DBF,42.5378,-72.1715,D
US-IB2,GRA,41.84062,-88.24103,D
US-Ivo,WET,68.4865,-155.7503,D
US-KS1,ENF,28.4583,-80.6709,C
US-KS2,CSH,28.6086,-80.6715,C
US-Lin,CRO,36.3566,-119.8423,B
US-Los,WET,46.0827,-89.9792,D
