Site,nYear,PFT,Latitude,Longitude,VPD_SM_Site,VPD_SM_Site_SM2,VPD_SM_Site_SM3,VPD_SM_Site_SM4
AR-SLu,3,MF,-33.4648,-66.4598,NA,NA,NA,NA
AR-Vir,4,ENF,-28.2395,-56.1886,NA,NA,NA,NA
AT-Neu,11,GRA,47.11667,11.3175,AT-Neu,AT-Neu,AT-Neu,NA
AU-Ade,3,WSH,-13.0769,131.1178,NA,NA,NA,NA
AU-ASM,5,ENF,-22.283,133.249,AU-ASM,NA,NA,NA
AU-Cpr,5,WSH,-34.0021,140.5891,AU-Cpr,NA,NA,NA
AU-Cum,3,EBF,-33.61518,150.72362,NA,NA,NA,NA
AU-DaP,7,GRA,-14.0633,131.3181,AU-DaP,NA,NA,NA
AU-DaS,7,WSH,-14.1593,131.3881,AU-DaS,NA,NA,NA
AU-Dry,7,WSH,-15.2588,132.3706,AU-Dry,NA,NA,NA
AU-Emr,3,GRA,-23.8587,148.4746,NA,NA,NA,NA
AU-Fog,3,WET,-12.5452,131.3072,NA,NA,NA,NA
AU-Gin,4,WSH,-31.3764,115.7138,NA,NA,NA,NA
AU-GWW,2,WSH,-30.1913,120.6541,NA,NA,NA,NA
AU-How,14,WSH,-12.4943,131.1523,AU-How,NA,NA,NA
AU-Lox,2,DBF,-34.4704,140.6551,NA,NA,NA,NA
AU-RDF,3,WSH,-14.5636,132.4776,NA,NA,NA,NA
AU-Rig,4,GRA,-36.6499,145.5759,NA,NA,NA,NA
AU-Rob,1,EBF,-17.1175,145.6301,NA,NA,NA,NA
AU-Stp,7,GRA,-17.1507,133.3502,AU-Stp,NA,NA,NA
AU-TTE,3,SH,-22.287,133.64,NA,NA,NA,NA
AU-Tum,14,EBF,-35.6566,148.1517,AU-Tum,NA,NA,NA
AU-Wac,4,EBF,-37.4259,145.1878,NA,NA,NA,NA
AU-Whr,4,EBF,-36.6732,145.0294,NA,NA,NA,NA
AU-Wom,5,EBF,-37.4222,144.0944,AU-Wom,NA,NA,NA
AU-Ync,3,GRA,-34.9893,146.2907,NA,NA,NA,NA
BE-Bra,19,MF,51.30761,4.51984,NA,NA,NA,NA
BE-Lon,11,CRO,50.55162,4.74623,BE-Lon,BE-Lon,BE-Lon,BE-Lon
BE-Vie,19,MF,50.30493,5.99812,BE-Vie,BE-Vie,BE-Vie,BE-Vie
BR-Sa1,10,EBF,-2.85667,-54.95889,NA,NA,NA,NA
BR-Sa3,5,EBF,-3.01803,-54.97144,BR-Sa3,NA,NA,NA
CA-Gro,12,DBF,48.2167,-82.1556,CA-Gro,NA,NA,NA
CA-Man,NA,ENF,55.87962,-98.48081,NA,NA,NA,NA
CA-NS1,5,ENF,55.87917,-98.48389,CA-NS1,NA,NA,NA
CA-NS2,5,ENF,55.90583,-98.52472,CA-NS2,NA,NA,NA
CA-NS3,5,ENF,55.91167,-98.38222,CA-NS3,NA,NA,NA
CA-NS4,4,ENF,55.91437,-98.380645,NA,NA,NA,NA
CA-NS5,5,ENF,55.86306,-98.485,CA-NS5,NA,NA,NA
CA-NS6,5,SH,55.91667,-98.96444,CA-NS6,NA,NA,NA
CA-NS7,4,SH,56.63583,-99.94833,NA,NA,NA,NA
CA-Oas,15,DBF,53.62889,-106.19779,CA-Oas,NA,NA,NA
CA-Obs,14,ENF,53.98717,-105.11779,CA-Obs,CA-Obs,NA,NA
CA-Qfo,8,ENF,49.6925,-74.34206,CA-Qfo,NA,NA,NA
CA-SF1,4,ENF,54.48503,-105.81757,NA,NA,NA,NA
CA-SF2,5,ENF,54.25392,-105.8775,CA-SF2,NA,NA,NA
CA-SF3,6,SH,54.09156,-106.00526,CA-SF3,NA,NA,NA
CA-TP1,13,ENF,42.66093611,-80.55951944,CA-TP1,NA,NA,NA
CA-TP2,6,ENF,42.77441944,-80.458775,CA-TP2,NA,NA,NA
CA-TP3,13,ENF,42.70681111,-80.34831389,CA-TP3,NA,NA,NA
CA-TP4,13,ENF,42.710161,-80.357376,CA-TP4,NA,NA,NA
CA-TPD,3,DBF,42.635328,-80.557731,NA,NA,NA,NA
CG-Tch,4,WSH,-4.28917,11.65642,NA,NA,NA,NA
CH-Cha,10,GRA,47.21022,8.41044,CH-Cha,CH-Cha,CH-Cha,NA
CH-Dav,18,ENF,46.81533,9.85591,CH-Dav,CH-Dav,CH-Dav,NA
CH-Fru,10,GRA,47.11583,8.53778,CH-Fru,CH-Fru,CH-Fru,CH-Fru
CH-Lae,11,MF,47.47833,8.36439,CH-Lae,CH-Lae,CH-Lae,CH-Lae
CH-Oe1,7,GRA,47.28583,7.73194,CH-Oe1,CH-Oe1,CH-Oe1,NA
CH-Oe2,11,CRO,47.28642,7.73375,CH-Oe2,CH-Oe2,CH-Oe2,CH-Oe2
CN-Cha,3,MF,42.4025,128.0958,NA,NA,NA,NA
CN-Cng,4,GRA,44.5934,123.5092,NA,NA,NA,NA
CN-Dan,2,GRA,30.4978,91.0664,NA,NA,NA,NA
CN-Din,3,EBF,23.1733,112.5361,NA,NA,NA,NA
CN-Du2,3,GRA,42.0467,116.2836,NA,NA,NA,NA
CN-Du3,2,GRA,42.0551,116.2809,NA,NA,NA,NA
CN-Ha2,3,WET,37.6086,101.3269,NA,NA,NA,NA
CN-HaM,3,GRA,37.37,101.18,NA,NA,NA,NA
CN-Qia,3,ENF,26.7414,115.0581,NA,NA,NA,NA
CN-Sw2,3,GRA,41.7902,111.8971,NA,NA,NA,NA
CZ-BK1,11,ENF,49.50208,18.53688,CZ-BK1,CZ-BK1,NA,NA
CZ-BK2,9,GRA,49.49443,18.54285,CZ-BK2,CZ-BK2,NA,NA
CZ-wet,9,WET,49.02465,14.77035,NA,NA,NA,NA
DE-Akm,6,WET,53.86617,13.68342,NA,NA,NA,NA
DE-Geb,14,CRO,51.09973,10.91463,DE-Geb,DE-Geb,DE-Geb,DE-Geb
DE-Gri,11,GRA,50.95004,13.51259,DE-Gri,NA,NA,NA
DE-Hai,13,DBF,51.07921,10.45217,DE-Hai,DE-Hai,DE-Hai,NA
DE-Kli,11,CRO,50.89306,13.52238,DE-Kli,NA,NA,NA
DE-Lkb,5,ENF,49.09962,13.30467,DE-Lkb,NA,NA,NA
DE-Lnf,11,DBF,51.32822,10.3678,DE-Lnf,DE-Lnf,DE-Lnf,DE-Lnf
DE-Obe,7,ENF,50.78666,13.72129,DE-Obe,DE-Obe,DE-Obe,NA
DE-RuR,4,GRA,50.62191,6.30413,NA,NA,NA,NA
DE-RuS,4,CRO,50.86591,6.44714,NA,NA,NA,NA
DE-Seh,4,CRO,50.87062,6.44965,NA,NA,NA,NA
DE-SfN,3,WET,47.80639,11.3275,NA,NA,NA,NA
DE-Spw,5,WET,51.89225,14.03369,NA,NA,NA,NA
DE-Tha,19,ENF,50.96256,13.56515,DE-Tha,DE-Tha,NA,NA
DE-Zrk,2,WET,53.87594,12.88901,NA,NA,NA,NA
DK-Eng,4,GRA,55.69053,12.19175,NA,NA,NA,NA
DK-Fou,1,CRO,56.4842,9.58722,NA,NA,NA,NA
DK-Sor,19,DBF,55.48587,11.64464,DK-Sor,DK-Sor,DK-Sor,DK-Sor
ES-Amo,6,SH,36.83361,-2.25232,ES-Amo,NA,NA,NA
ES-LgS,3,SH,37.09794,-2.96583,NA,NA,NA,NA
ES-LJu,10,SH,36.92659,-2.75212,ES-LJu,NA,NA,NA
ES-Ln2,1,SH,36.9695,-3.47582,NA,NA,NA,NA
FI-Hyy,19,ENF,61.84741,24.29477,FI-Hyy,FI-Hyy,FI-Hyy,FI-Hyy
FI-Jok,4,CRO,60.8986,23.51345,NA,NA,NA,NA
FI-Let,4,ENF,60.64183,23.95952,NA,NA,NA,NA
FI-Lom,3,WET,67.99724,24.20918,NA,NA,NA,NA
FI-Sod,14,ENF,67.36239,26.63859,FI-Sod,FI-Sod,NA,NA
FR-Fon,10,DBF,48.47636,2.7801,NA,NA,NA,NA
