"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
19.77,549,16.141,3.2,"SAV",5,7.84953
30.82,322.7,28.01,3.15,"WSA",39,3.91964
33.74,570,37.233,5.7,"SAV",2,1.99262
26.58,203,11.83,4,"SAV",6,4.84124
22.72,319,10.223,6.5,"WSA",7,9.15939
34.62,792.445,43.39,10.9,"WSA",40,3.03161
24.32,852,22.819,3.7,"SAV",3,5.80805
23.85,202.584,18.99,10.7,"WSA",40,5.71284
33.88,921,30.654,7.3,"WSA",7,11.7566
26.34,587.08,6.998,22.193,"CSH",31,5.96738
28.56,316.6,31.88,2.9,"WSA",39,2.05241
27.55,769.55,14.069,24.067,"CSH",31,8.63179
29.44,727,25.069,3.4,"SAV",5,9.27112
28.48,815,24.105,8,"WSA",7,11.489
30.27,711,32.328,7,"WSA",7,15.1515
27.19,861,21.998,6.9,"WSA",7,10.8621
25.74,514.36,11.059,22.27,"CSH",31,8.28944
26.74,752,29.503,2.6,"SAV",3,2.40313
17.05,434,13.806,2.9,"SAV",3,1.53951
18.93,436,12.693,4.3,"SAV",3,2.917
27.6,599.05,9.013,21.97,"CSH",31,6.22067
31.72,536,36.982,6.5,"SAV",2,4.0487
24.81,642.66,10.025,16.892,"CSH",31,4.72981
29.28,261,14.252,7.4,"WSA",7,13.9179
27.28,138.5,22.6,3,"OSH",42,2.9955
28.62,836,36.01,2.1,"WSA",39,1.05339
16.72,66,7.045,3.5,"SAV",3,1.50484
33.65,925,29.22,5.4,"SAV",6,8.13139
31.69,671,33.181,3.1,"SAV",5,6.80851
16.26,135.93,6.99,23.39,"CSH",31,4.57651
20.45,155.3,5.78,2,"OSH",42,2.08279
33.37,659,30.821,7.5,"WSA",7,15.0161
39.22,225,63.685,4,"SAV",5,2.78523
24.83,143.2,5.685,8.2,"SAV",36,7.05744
30.78,890,25.739,6.3,"WSA",7,14.5612
22.355,316.049,9.22,16.595,"OSH",10,5.49538
31.87,827,25.966,5.7,"SAV",5,14.2726
13.55,80,8.386,3.7,"SAV",6,0.451719
32.56,899,27.534,8.1,"SAV",36,11.0011
30.16,130.1,28.03,5.78,"WSA",39,3.82351
30.13,695,20.097,7.5,"WSA",7,19.0758
24.59,669,23.191,4.7,"SAV",2,2.51997
29.54,450.099,28.63,6.7,"WSA",40,3.67995
14.79,778,9.761,2.5,"SAV",3,0.729494
29.49,915,29.47,5,"OSH",42,2.56333
35.82,664,41.188,5,"SAV",6,9.76467
33.85,485,31.13,7.1,"WSA",7,12.4655
24.15,143.6,10.872,9.4,"SAV",36,4.02283
31.38,333,20.663,7.3,"WSA",7,20.0723
19.62,345,8.453,8.8,"WSA",7,7.57815
27.91,676,16.549,8.7,"WSA",7,19.0636
23.7,517,13.485,3,"SAV",5,8.51693
22.166,536.78,19.952,14.343,"OSH",23,3.35481
28.51,1048,36.16,1.8,"WSA",39,2.26018
25.62,507.88,8.581,20,"CSH",31,4.99156
33.62,756,33.338,4.6,"SAV",5,12.6379
