"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
19.841,193.108,8.86,44.73,"OSH",10,4.84202
27.43,639.5,17.88,8.59,"WSA",39,12.5914
24,255.3,9.66,8,"OSH",42,5.54445
28.07,62.18,20.78,7,"OSH",42,0.436248
14.29,272.54,6.322,29.38,"CSH",31,7.97089
30.35,68.77,21.412,13.2,"SAV",36,1.01719
26.13,293,9.148,13.7,"WSA",7,13.3333
27.17,554.9,27.43,6.16,"WSA",39,7.72476
9.65,463.417,5.986,31.922,"OSH",23,4.02074
11.3,470.5,8.85,29,"OSH",11,4.71202
30.67,886,17.64,15.6,"WSA",7,22.742
27.47,848,7.332,10,"SAV",6,14.7108
33.39,129.5,40.56,10,"OSH",42,1.12963
22.28,128.842,16.68,63.282,"OSH",10,2.37133
4.762,789.786,5.371,18.236,"OSH",23,2.20946
28.88,889,22.27,7.02,"WSA",39,7.2618
35.3,757,30.877,14.5,"WSA",7,26.7467
14.12,542.65,8.831,31.487,"CSH",31,4.72784
18.3,610,12.31,20,"OSH",11,3.85577
13.88,861.63,6.68,38.2,"WSA",40,10.4544
32.54,821,24.515,19.9,"WSA",7,12.9709
11.3,394,5.93,23,"OSH",11,4.67208
22.29,510.67,6.003,31.3,"CSH",31,7.96289
33.17,956,19.81,12.2,"WSA",7,25.3262
32.48,764,33.86,6.89,"WSA",39,8.07765
28.41,264.811,22.53,21.8,"WSA",40,4.77469
31.37,944,20.193,16.2,"WSA",7,17.6382
25.7,557.7,20.63,20,"OSH",11,6.38523
31.3,594,24.684,10.5,"WSA",7,11.1032
30.58,357,13.162,19.1,"WSA",7,13.6648
35.56,877,34.803,7,"SAV",6,6.70336
23.044,582.92,8.821,21,"OSH",22,1.87862
27,163,9.629,18.7,"WSA",7,10.3564
12.734,387.92,5.339,31.393,"OSH",22,3.04877
29.16,240,12.536,18.1,"WSA",7,6.43628
30.05,398,14.472,18,"WSA",7,16.4366
17.181,416,7.941,29.483,"OSH",22,1.73679
30.79,253,18.649,14.2,"WSA",7,28.163
28.74,475,11.446,17.9,"WSA",7,21.6782
9.54,584.89,5.52,39.6,"WSA",40,4.31201
32.43,598,24.232,11.6,"SAV",36,13.1984
29.62,860,18.271,10,"SAV",6,16.8555
31.69,1060,21.03,19.8,"WSA",7,23.5316
29.33,385,15.11,18.1,"WSA",7,13.7516
16.7,862,9.62,21,"OSH",11,3.91074
13.094,704.756,5.179,30.991,"OSH",23,2.98964
34.02,863,27.698,11.4,"WSA",7,18.2863
19.9,854,17.08,20,"OSH",11,12.7173
32.96,363,25.603,15.5,"WSA",7,9.50492
14.5,281.9,8.41,22,"OSH",11,5.43771
13.39,271.769,8.76,42.1,"WSA",40,15.1813
13.187,367.237,6.703,20.302,"OSH",22,4.98288
32.49,696.5,25.458,11.7,"SAV",36,12.4868
29.95,398,13.119,18.3,"WSA",7,18.8298
32.3,195,22.87,13.7,"SAV",36,1.88353
34.38,711,28.801,11,"WSA",7,14.0093
26.13,572.541,20.69,26.017,"OSH",10,6.51593
30.8,644,18.216,16,"WSA",7,19.5668
9.59,91.65,7.13,36.3,"WSA",40,0.838658
30.24,834,24.3,8.67,"WSA",39,16.3056
28.42,481.2,15.292,12.7,"SAV",36,7.28039
18.816,808.132,12.464,20.637,"OSH",23,6.13336
26.21,728,18.724,13,"SAV",6,14.0717
17.291,432.12,7.612,18.23,"OSH",22,4.59974
28,700.7,18.9,8.24,"WSA",39,5.05999
12.95,159.536,6.168,18.496,"OSH",22,2.66983
18.58,405.964,12.57,40,"WSA",40,10.5101
35.18,844,43.17,10.2,"WSA",7,11.9856
32.11,837,20.578,13.8,"WSA",7,19.9245
33.12,853,24.314,17.5,"WSA",7,14.5663
