"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
21.8,724,12.159,4.8,"ENF",34,23.7908
28.38,1103,10.205,17.3333333333333,"EBF",26,27.5762
18.92,559.8,7.377,4.3,"ENF",34,29.5371
27.11,560.93,16.704,8.96,"ENF",35,8.02376
15.53,213.82,6.631,25.8,"DBF",18,15.3229
23.01,425.9,20.912,4.93333333333333,"ENF",34,9.21551
28.11,674.7,18.295,4.03333333333333,"ENF",34,13.9564
11.3,534.3,5.966,5.4,"ENF",34,12.6688
16.16,481.28,5.108,14.7533333333333,"ENF",20,17.3311
17.75,369,6.902,6.06666666666667,"ENF",34,19.2747
23.99,461,11.031,6,"ENF",34,16.9501
27.4,1070,14.695,17,"EBF",26,26.0413
24.823,949.933,9.744,9.771,"DBF",44,18.8641
28.28,183.5,8.857,11.8846666666667,"ENF",32,7.95235
29.39,596,14.777,14.6666666666667,"EBF",26,31.0166
27.18,796,17.496,10.27,"ENF",32,5.61236
28.25,317.5,9.437,20,"EBF",26,24.3779
19.83,501.5,7.633,4.53333333333333,"ENF",34,25.6102
22.413,449.06,5.673,10.2323333333333,"DBF",44,15.9908
20.96,439.31,9.678,10.0923333333333,"ENF",25,5.51776
16.31,499.1,9.682,5.43333333333333,"ENF",34,12.9107
27.923,264.393,26.313,5.711,"DBF",44,7.92317
11.35,75.1,5.088,6.66666666666667,"ENF",34,2.42981
14.99,418.1,6.316,7.26666666666667,"ENF",34,21.5126
29.45,149.543,25.214,2.12666666666667,"DBF",44,6.29648
29.08,757,14.044,17,"EBF",26,43.959
8.61,595.3,6.696,6.93333333333333,"ENF",34,10.1177
27.12,449.3,10.559,21.6666666666667,"EBF",26,16.4441
26.71,446.5,8.239,22.1666666666667,"EBF",26,29.9504
9.12,836,5.483,5.66666666666667,"ENF",34,14.2991
14.84,177.2,7.035,5.8,"ENF",34,8.722
21.63,826,15.966,5.06666666666667,"ENF",34,11.1823
27.7,650.83,20.137,10.758,"ENF",25,13.0295
30.66,807,16.696,9.33333333333333,"EBF",26,28.2914
27.2,336,7.072,11,"EBF",26,18.9542
