"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
15.67,435.64,6.001,30.9733333333333,"DBF",18,32.3226
27.3,535.9,8.421,24.5666666666667,"EBF",26,17.511
28.9,769,12.206,21.6666666666667,"EBF",26,36.4718
23.12,595,10.758,26.0666666666667,"MF",9,24.5138
22.603,803.711,15.509,21.73,"DBF",28,25.8327
15.98,641.85,7.259,23.224,"ENF",24,21.6421
16.56,232.2,7.777,34.2756666666667,"ENF",24,13.5136
17.74,302.08,6.209,32.29,"DBF",18,18.7468
6.14,524,5.95,25.8666666666667,"MF",9,19.9225
20.67,265,5.886,24.0666666666667,"MF",9,22.4477
25.541,550.356,15.839,28.4153333333333,"DBF",28,25.8502
20.9,711.5,12.045,26.9,"MF",9,15.7098
17.5,875.83,11.697,28.8556666666667,"ENF",13,20.1656
16.19,365.13,6.902,22.5866666666667,"ENF",24,18.3364
25.067,947.117,24.665,26.93,"ENF",13,18.1279
11.1,526.27,9.754,39.163,"ENF",24,8.37929
23.41,372,9.599,22.9666666666667,"MF",9,11.2668
15.05,513.94,8.655,14.8773333333333,"ENF",24,19.6269
15.56,705.34,7.243,40.12,"DBF",18,29.5834
21.202,1059.37,10.06,26.1806666666667,"DBF",28,29.7643
24.723,829.566,23.682,19.8986666666667,"DBF",28,22.7706
23.41,841.85,17.099,27.7966666666667,"DBF",19,20.5399
21.06,715.15,12.028,37.5093333333333,"DBF",18,24.732
12.74,271,7.128,23.3,"MF",9,14.5962
12.98,448.37,7.535,33.9703333333333,"ENF",24,13.6038
22.078,1053.93,18.727,28.5423333333333,"DBF",28,26.0773
20.224,884.52,6.595,34.7793333333333,"ENF",32,27.4653
27.8,728,23.69,15.1976666666667,"DBF",21,17.6121
25.08,261.64,23.251,27.0033333333333,"ENF",24,5.77301
11.44,356.48,5.597,40.7523333333333,"DBF",18,20.6097
16.81,504,7.803,23.5333333333333,"MF",9,20.6239
24.44,343,15.629,22.7,"MF",9,17.781
7.42,76,7.014,25.8666666666667,"MF",9,6.83435
27.14,665.1,9.493,15,"EBF",26,34.0966
13.662,297.322,9.097,36.523,"DBF",28,23.132
14.76,138.24,5.571,38.0933333333333,"DBF",18,9.63603
11.18,176.54,7.262,17.023,"ENF",24,13.6669
30.413,785.304,12.997,28.7083333333333,"ENF",32,22.142
16.4,155.73,11.943,35.8806666666667,"ENF",24,6.77614
