"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
32.705,939.53,40.86,6.192,"GRA",41,3.59322
11.419,890.959,6.63,26.726,"GRA",33,8.14755
17.4,851,10.72,25.3,"GRA",37,15.744
31.8,845,26.21,17.1,"GRA",37,14.0965
26.32,367.27,25.959,10,"GRA",1,19.9983
15.82,840,10.765,28.885,"GRA",33,12.5076
20.13,251,8.106,13.7,"GRA",15,19.1729
19.56,409.44,10.536,10,"GRA",1,29.1272
21.76,156.136,22.13,2,"GRA",43,0.490518
23.46,595.07,14.484,17.411,"GRA",1,25.2165
29.63,722,28.253,7.8,"GRA",8,4.10114
29.68,734,22.501,5.7,"GRA",8,3.62591
34.13,996,36.443,8.5,"GRA",8,9.18541
27.1,921,17.76,26.2,"GRA",37,23.6266
26.645,540.79,17.16,6.659,"GRA",41,8.37701
11.8,390.702,7.32,6.06,"GRA",38,3.05435
27.8,696,8.222,6.8,"GRA",4,37.0575
20.6,809,11.43,28.8,"GRA",37,19.9589
25.48,632,17.28,7.3,"GRA",8,9.20698
26.78,944.46,17.55,11,"GRA",43,4.65847
29.47,455.739,33.43,4.19,"GRA",38,5.50786
23.62,240.5,19.15,2.83,"GRA",43,3.34206
26.58,123,31.6,8,"GRA",43,2.15479
19.611,370.338,10.621,16.689,"GRA",1,30.2263
13.379,420.49,7.334,17.834,"GRA",33,9.69829
21.76,995.652,20.4,5.13,"GRA",38,4.21063
29.35,355.305,28.4,3.77,"GRA",38,2.46426
23.433,900.47,18,6.037,"GRA",41,5.72221
12.82,748.9,6.374,27.916,"GRA",33,12.3172
18.345,716.714,10.252,12.466,"GRA",33,15.1882
23.7,528.1,15.01,27.3,"GRA",37,17.7429
24.56,213,12.346,13.8,"GRA",8,4.65393
30.48,176.522,35.07,4.05,"GRA",38,3.46051
17.04,113.27,5.593,13,"GRA",1,17.8651
24.4,620.4,12.89,22.6,"GRA",37,14.6396
26.87,858,18.91,15,"GRA",43,7.69536
25.58,270.783,19.81,4.56,"GRA",38,6.97926
17.466,880.38,6.58,8.627,"GRA",41,19.1748
22.082,1001.64,22.98,0,"GRA",43,2.62401
16.46,1002.18,9.582,18,"GRA",1,46.4517
30.01,495.479,29.91,4.27,"GRA",38,6.46277
10.85,175.85,9.273,15.358,"GRA",33,7.72056
26.62,867,16.779,14.067,"GRA",15,14.8606
26.763,607.97,25.93,9.492,"GRA",41,5.88121
29.6,692.1,19.79,14.1,"GRA",37,7.98295
24.93,752.83,16.159,9,"GRA",1,14.8373
16.22,960.891,7.326,15.4,"GRA",33,19.0606
17.76,543.7,6.76,2.67,"GRA",43,7.74699
33.97,781.739,36.97,5.31,"GRA",38,8.17705
26.62,338,12.555,8.4,"GRA",8,10.6403
30.8,294.9,35.74,10,"GRA",43,4.67863
30.1,867,21.39,27.6,"GRA",37,20.6266
16.78,1061,8.78,8.825,"GRA",41,12.5361
12.66,931.305,10.13,4.51,"GRA",38,2.73597
29.36,712,28.636,13.9,"GRA",8,8.29059
32.2,889,35.594,6.5,"GRA",8,8.69621
13.205,685.063,8.169,11.572,"GRA",33,12.269
8.315,907.148,5.54,18.586,"GRA",33,26.4299
11.29,618.8,7.257,28.816,"GRA",33,16.2126
25.3,763,22.51,14,"GRA",37,22.3939
15.4,766,9.63,4.953,"GRA",41,11.7808
18.41,831.089,10.677,10.256,"GRA",33,16.5264
24.06,442,16.424,14.7,"GRA",15,15.9311
28.16,993.913,33.5,3.17,"GRA",38,1.86441
28.1,632.5,13.79,28.5,"GRA",37,22.9485
35.93,117,50.317,12.3,"GRA",8,1.82286
25.592,753.765,14.205,8.91,"GRA",16,14.859
26.04,713,24.94,15.2,"GRA",8,6.579
15.743,769.818,8.31,10.723,"GRA",33,20.868
33.36,866.087,39.26,3.85,"GRA",38,1.36394
18.61,476.8,12.6,8.09,"GRA",41,11.9689
29.8,1046.84,30.21,12,"GRA",43,8.79541
25.28,105.131,24.95,4.72,"GRA",38,0.830514
23.1,170.4,16.52,14.9,"GRA",37,4.48323
34.86,941.739,42.83,3.78,"GRA",38,3.50629
29.8,192.6,29.2,25.6,"GRA",37,9.81759
19.44,207.1,11.962,29.704,"GRA",33,6.72924
17.586,670.075,6.259,11.291,"GRA",33,15.402
25.44,782,20.039,14.133,"GRA",15,15.2316
13.07,861.59,9.61,8.816,"GRA",41,16.8525
28.41,451,33.3,9.5,"GRA",8,5.69754
29.73,187.788,30.28,15,"GRA",43,2.49163
35.05,1028,36.658,10.8,"GRA",8,6.08935
30.9,978.261,29.34,5.38,"GRA",38,15.4762
28.69,599.392,24.81,3.99,"GRA",38,6.91235
17.39,589.9,6.89,13,"GRA",43,2.70319
27.401,131.482,32.93,1,"GRA",43,1.86755
21.49,950,14.42,9,"GRA",43,10.8122
18.81,713.72,11.293,18,"GRA",1,35.3725
25.94,536.19,22.11,9.149,"GRA",41,8.6144
19.389,603.271,9.795,7.023,"GRA",16,13.2647
11.5,379.5,12.02,12,"GRA",43,1.43572
19.88,994.482,20.38,0,"GRA",43,1.00919
27.66,663.479,24.25,6.28,"GRA",38,10.0715
10.33,857,5.324,27.745,"GRA",33,14.4518
25.26,634.783,27.94,4.5,"GRA",38,2.8109
26.12,256,7.45,9.2,"GRA",8,4.53823
18.028,412.49,6.57,8.793,"GRA",41,17.3514
20.09,1047.44,20.91,0,"GRA",43,1.0381
25.98,246.522,16.86,4.65,"GRA",38,6.28198
11.59,924,5.548,26.1,"GRA",33,17.925
26.21,130.522,18.26,4.45,"GRA",38,3.71748
19.202,828.4,9.52,6.16,"GRA",41,19.4724
28.647,776.672,36.42,1,"GRA",43,2.42082
32.46,489.1,36.59,13,"GRA",43,5.11448
22.062,704.8,21.04,6.204,"GRA",41,5.67971
27.21,170,6.499,6,"GRA",4,13.4621
17.9,583.4,10.701,21.771,"GRA",33,16.2172
25.4,407.9,23.36,8.926,"GRA",41,10.0862
35.56,970,50.464,11.4,"GRA",8,7.27182
27.87,754.783,18.02,4.83,"GRA",38,18.4852
15.54,792.4,7.605,28.328,"GRA",33,13.3604
16.408,405.266,7.133,12.319,"GRA",1,38.4931
9.5,254.8,8.44,9,"GRA",43,2.61315
16.89,575.4,13.34,10,"GRA",43,3.69693
