"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
13.645,304.85,9.23,40.136,"GRA",14,12.0066
17,737.18,8.253,32,"GRA",1,31.4963
18.47,118.51,6.832,28,"GRA",1,21.9904
15.81,145.6,5.604,48.575,"GRA",15,5.61879
26.7,522,10.512,24,"GRA",8,10.8836
33.16,531,21.83,11.3,"GRA",4,19.4332
32,439.6,22.12,32.9,"GRA",37,18.1334
31.55,688.957,32.99,9.371,"GRA",38,13.1808
25.157,938.667,20.759,18.887,"GRA",17,22.2155
19.947,106.347,9.496,36.03,"GRA",17,9.58264
22.96,394.261,15.88,14.331,"GRA",38,7.05547
27.333,501.133,25.862,20.303,"GRA",17,17.5534
39.4,54,57.872,16.7,"GRA",8,1.68956
29.33,458,9.393,12.4,"GRA",4,18.0031
23.216,753.18,11.461,54.702,"GRA",12,12.3019
22.706,971.85,16.01,17.622,"GRA",41,29.2715
27.583,875.094,24.153,28.805,"GRA",1,30.354
23.784,899.79,12.809,41.048,"GRA",14,28.7469
12.2,169.9,8.387,35.7,"GRA",27,0.451898
15.335,187.7,6.076,41.334,"GRA",14,8.68367
23.513,762.58,14.421,36.151,"GRA",14,27.3002
17.04,528.933,8.358,42.37,"GRA",17,9.16806
15.76,348.09,5.714,38.47,"GRA",17,19.0048
22.71,813.3,14.38,16.236,"GRA",41,20.2909
26.47,922.47,18.225,40,"GRA",1,39.6839
31.18,1080,19.068,25.3,"GRA",8,4.38153
30.1,632.3,20.49,31.2,"GRA",37,16.6988
16.9,458.3,12.33,35.6,"GRA",37,10.5619
13.6,345.7,6.65,41.8,"GRA",37,20.672
19.3,571.2,9.67,35.9,"GRA",37,12.717
10.7,723.4,6.953,36,"GRA",1,22.9953
12.64,742,5.738,29.15,"GRA",15,23.5318
19.69,320.2,11.743,22.133,"GRA",15,10.8061
9.65,589.35,5.086,35.56,"GRA",17,16.4698
19.53,138.4,6.497,38.575,"GRA",15,13.8111
22.19,470.4,18.425,28.35,"GRA",15,19.5591
24.52,881.739,11.21,15.18,"GRA",38,11.242
14.2,512,5.86,43.7,"GRA",37,16.4003
17.46,342.89,6.428,35,"GRA",1,15.6505
19.431,822.07,8.358,42.47,"GRA",12,13.4902
13.71,253.4,6.74,26.83,"GRA",41,10.8883
31.62,1126,20.947,25.3,"GRA",8,5.75837
30.9,923,25.916,9.2,"GRA",4,15.8374
18.2,549.1,12.59,33.5,"GRA",37,12.5354
29.9,211,27.851,15.3,"GRA",8,9.06444
26.69,72,7.354,19.4,"GRA",4,5.40942
29.32,580.5,27.471,38.68,"GRA",17,22.4105
31.08,787,23.926,13.2,"GRA",4,25.3706
34.02,335,41.014,16.4,"GRA",8,7.93872
23.85,900,17.849,29.22,"GRA",17,23.7301
